                  Temp     Hi    Low   Out    Dew  Wind  Wind  Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar    Heat    Cool    In     In    In     In     In   In Air          Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir   Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.     D-D     D-D    Temp   Hum    Dew   Heat    EMC Density     ET   Samp   Tx   Recept  Int.
11/09/14  1:55a   62.7   62.9   62.7    13   11.1   5.0    NW  0.42  11.0     N   62.7   57.3   57.3   53.8   829.9  0.00  0.00     0     0.00      0     0.008   0.000   74.0    10   13.9   69.8   2.39  .0607    0.000   118    1    100.0    5 
11/09/14  2:00a   62.7   62.8   62.6    14   12.7   5.0    NW  0.42  14.0    SW   62.7   57.4   57.4   53.9   830.0  0.00  0.00     0     0.00      0     0.008   0.000   74.0    10   13.9   69.8   2.39  .0607    0.005   117    1    100.0    5 
11/09/14  2:05a   62.6   62.8   62.6    12    9.2   6.0   NNW  0.50  11.0   NNW   62.6   57.2   57.2   53.6   829.9  0.00  0.00     0     0.00      0     0.008   0.000   73.6    10   13.6   69.3   2.41  .0607    0.000   117    1    100.0    5 
11/09/14  2:10a   62.3   62.6   62.3    13   10.8   6.0    NW  0.50  10.0    NW   62.3   57.0   57.0   53.5   829.8  0.00  0.00     0     0.00      0     0.009   0.000   73.6    10   13.6   69.3   2.41  .0607    0.000   117    1    100.0    5 
11/09/14  2:15a   62.2   62.4   62.2    13   10.7   5.0    NW  0.42   9.0   NNW   62.2   56.9   56.9   53.4   829.9  0.00  0.00     0     0.00      0     0.010   0.000   74.0    10   13.9   69.8   2.39  .0607    0.000   117    1    100.0    5 
11/09/14  2:20a   62.1   62.2   62.1    15   13.8   4.0     W  0.33   9.0     W   62.1   57.0   57.0   53.5   829.8  0.00  0.00     0     0.00      0     0.010   0.000   74.0    10   13.9   69.8   2.39  .0607    0.000   117    1    100.0    5 
11/09/14  2:25a   61.8   62.1   61.8    13   10.4   2.0     W  0.17   4.0     W   61.8   56.6   56.6   53.1   829.7  0.00  0.00     0     0.00      0     0.011   0.000   73.8    10   13.8   69.6   2.40  .0607    0.000   117    1    100.0    5 
11/09/14  2:30a   61.9   61.9   61.8    14   12.1   3.0    NW  0.25   6.0    NW   61.9   56.7   56.7   53.2   829.7  0.00  0.00     0     0.00      0     0.011   0.000   73.6    10   13.6   69.3   2.41  .0607    0.000   117    1    100.0    5 
11/09/14  2:35a   61.4   61.9   61.4    14   11.7   1.0    NE  0.08   4.0    NE   61.4   56.3   56.3   52.8   829.5  0.00  0.00     0     0.00      0     0.012   0.000   73.8    10   13.8   69.6   2.40  .0607    0.000   117    1    100.0    5 
11/09/14  2:40a   60.6   61.4   60.6    16   14.1   1.0     S  0.08   4.0     E   60.6   55.7   55.7   52.2   829.5  0.00  0.00     0     0.00      0     0.015   0.000   74.0    10   13.9   69.8   2.39  .0607    0.000   117    1    100.0    5 
